Classifier,Train-Accuracy,Test-Accuracy
KNN,0.9330024813895782,0.8901734104046243
Logistic Regression,0.913151364764268,0.884393063583815
Decision Tree,0.9702233250620348,0.884393063583815
Random Forest,1.0,0.9453179190751445
XGBoost,1.0,0.9595375722543352
